专业排名,综合排名,大学名称（英文）,大学名称（中文）,学科,专业
-,1,University of Pennsylvania,宾夕法尼亚大学,Business(商科),-
-,2,Massachusetts Institute of Technology,麻省理工学院,Business(商科),-
-,2,University of California—Berkeley,加州大学伯克利分校,Business(商科),-
-,4,University of Michigan—Ann Arbor,密歇根大学安娜堡分校,Business(商科),-
-,5,New York University,纽约大学,Business(商科),-
-,6,Carnegie Mellon University,卡内基梅隆大学,Business(商科),-
-,6,University of North Carolina—Chapel Hill,北卡罗来纳大学教堂山分校,Business(商科),-
-,6,University of Texas—Austin,德克萨斯大学奥斯汀分校,Business(商科),-
-,9,Cornell University,康奈尔大学,Business(商科),-
-,9,Indiana University—Bloomington,印第安纳大学伯明顿分校,Business(商科),-
-,9,University of Southern California,南加州大学,Business(商科),-
1,6, University of Texas—Austin,德克萨斯大学奥斯汀分校,Business(商科),Accounting(财务）
2,14, University of Illinois Urbana-Champaign,伊利诺伊大学厄巴纳-香槟分校,Business(商科),Accounting(财务）
3,40, Brigham Young University,杨百翰大学,Business(商科),Accounting(财务）
4,9, Indiana University—Bloomington,印第安纳大学伯明顿分校,Business(商科),Accounting(财务）
5,1, University of Pennsylvania,宾夕法尼亚大学,Business(商科),Accounting(财务）
6,4, University of Michigan—Ann Arbor,密歇根大学安娜堡分校,Business(商科),Accounting(财务）
7,12, University of Notre Dame,圣母大学,Business(商科),Accounting(财务）
8,9, University of Southern California,南加州大学,Business(商科),Accounting(财务）
9,23, University of Florida,佛罗里达大学,Business(商科),Accounting(财务）
10,5, New York University,纽约大学,Business(商科),Accounting(财务）
11,27, Boston College,波士顿学院,Business(商科),Accounting(财务）
12,14, Ohio State University,俄亥俄州立大学,Business(商科),Accounting(财务）
1,2,Massachusetts Institute of Technology,麻省理工学院,Business(商科),Analytics（商业分析）
2,6,Carnegie Mellon University,卡内基梅隆大学,Business(商科),Analytics（商业分析）
3,18,Georgia Institute of Technology,佐治亚理工学院,Business(商科),Analytics（商业分析）
4,5,New York University,纽约大学,Business(商科),Analytics（商业分析）
4,1,University of Pennsylvania,宾夕法尼亚大学,Business(商科),Analytics（商业分析）
6,6,University of Texas—Austin,德克萨斯大学奥斯汀分校,Business(商科),Analytics（商业分析）
7,4,University of Michigan—Ann Arbor,密歇根大学安娜堡分校,Business(商科),Analytics（商业分析）
8,2,University of California—Berkeley,加州大学伯克利分校,Business(商科),Analytics（商业分析）
9,27,Boston College,波士顿学院,Business(商科),Analytics（商业分析）
10,27,Arizona State University,亚利桑那州立大学,Business(商科),Analytics（商业分析）
11,9,Indiana University—Bloomington,印第安纳大学伯明顿分校,Business(商科),Analytics（商业分析）
12,27,Purdue University,普渡大学西拉法叶校区,Business(商科),Analytics（商业分析）
1,1,Babson College,巴布森学院,Business(商科),Entrepreneurship(创业学）
2,2,Massachusetts Institute of Technology,麻省理工学院,Business(商科),Entrepreneurship(创业学）
2,4,University of Michigan—Ann Arbor,密歇根大学安娜堡分校,Business(商科),Entrepreneurship(创业学）
4,2,University of California—Berkeley,加州大学伯克利分校,Business(商科),Entrepreneurship(创业学）
5,9,Indiana University—Bloomington,印第安纳大学伯明顿分校,Business(商科),Entrepreneurship(创业学）
