US Rank,University Name,大学名称, School Website,Public/Private,Acceptance Rate,SAT Range*,ACT Range*,High School GPA*,Tuition & Fees,Food & Housing,4-Year Graduation Rate,Student/Faculty Ratio,Classes With Fewer Than 20 Students,Median Salary 6 Years After Graduation
#1,Princeton University,普林斯顿大学,http://www.princeton.edu/,Private,4%,1500-1580,34-35,3.9,"$62,400 ","$20,250 ",80%,5:1,74%,"$87,815 "
#2,Massachusetts Institute of Technology,麻省理工学院,http://web.mit.edu/,Private,5%,1510-1580,34-36,N/A,"$62,396 ","$20,280 ",82%,3:1,67%,"$131,633 "
#3,Harvard University,哈佛大学,http://www.harvard.edu/,Private,3%,1500-1580,34-36,3.9,"$61,676 ","$21,190 ",66%,7:1,74%,"$99,572 "
#4,Stanford University,斯坦福大学,http://www.stanford.edu/,Private,4%,1510-1580,34-35,3.9,"$65,910 ","$21,315 ",64%,6:1,70%,"$102,887 "
#5,Yale University,耶鲁大学,http://www.yale.edu/,Private,5%,1500-1580,33-35,N/A,"$67,250 ","$19,900 ",66%,6:1,73%,"$81,765 "
#6,California Institute of Technology,加州理工学院,http://www.caltech.edu/,Private,3%,N/A,N/A,N/A,"$65,898 ","$20,283 ",79%,3:1,66%,"$132,140 "
#6,Duke University,杜克大学,http://www.duke.edu/,Private,7%,1520-1570,34-35,N/A,"$69,140 ","$19,799 ",88%,5:1,74%,"$85,792 "
#6,Johns Hopkins University,约翰霍普金斯大学,http://www.jhu.edu/,Private,8%,1530-1580,34-35,3.9,"$65,230 ","$20,150 ",87%,6:1,N/A,"$86,306 "
#6,Northwestern University,西北大学,http://www.northwestern.edu/,Private,7%,1490-1580,33-35,N/A,"$68,322 ","$21,126 ",88%,6:1,76%,"$76,844 "
#10,University of Pennsylvania,宾夕法尼亚大学,http://www.upenn.edu/,Private,6%,1500-1570,34-35,3.9,"$68,686 ","$19,174 ",88%,8:1,59%,"$90,555 "
#11,Cornell University,康奈尔大学,http://www.cornell.edu/,Private,8%,1480-1560,33-35,N/A,"$69,314 ","$19,428 ",87%,9:1,55%,"$87,830 "
#11,University of Chicago,芝加哥大学,http://www.uchicago.edu/,Private,5%,1510-1570,34-35,N/A,"$69,324 ","$20,109 ",86%,5:1,77%,"$80,870 "
#13,Brown University,布朗大学,https://www.brown.edu/,Private,5%,1500-1570,34-35,N/A,"$71,312 ","$17,444 ",80%,6:1,67%,"$79,131 "
#13,Columbia University,哥伦比亚大学,http://www.columbia.edu/,Private,4%,1490-1580,34-35,N/A,"$68,000 ","$17,580 ",88%,6:1,N/A,"$88,535 "
#15,Dartmouth College,达特茅斯学院,http://www.dartmouth.edu/,Private,6%,1500-1570,33-35,N/A,"$68,019 ","$19,749 ",84%,6:1,62%,"$82,541 "
#15,University of California--Los Angeles,加州大学洛杉矶分校,http://www.ucla.edu/,Public,9%,N/A,N/A,3.9,"$46,503 ","$18,369 ",86%,19:1,48%,"$59,063 "
